airport1,airport2,Oneworld,StarAlliance,Skyteam
AAL,AAR,2.0,0.0,0.0
AAL,BCN,2.0,0.0,0.0
AAL,OSL,3.0,2.0,0.0
AAQ,DME,2.0,0.0,0.0
AAR,BMA,2.0,0.0,0.0
AAR,GOT,2.0,0.0,0.0
AAR,OSL,2.0,0.0,0.0
AAT,URC,2.0,0.0,0.0
ABA,DME,2.0,0.0,0.0
ABE,CLT,2.0,0.0,0.0
ABE,PHL,2.0,0.0,0.0
ABI,DFW,2.0,0.0,0.0
ABQ,DFW,2.0,0.0,0.0
ABQ,LAX,2.0,2.0,0.0
ABQ,ORD,2.0,2.0,0.0
ABQ,PHX,2.0,0.0,0.0
ABV,LHR,2.0,0.0,0.0
ABX,SYD,2.0,0.0,0.0
ABZ,LCY,2.0,0.0,0.0
ABZ,LHR,6.0,0.0,0.0
ACC,LHR,4.0,0.0,0.0
ACC,MAD,2.0,0.0,0.0
ACE,BCN,2.0,0.0,0.0
ACE,BIO,2.0,0.0,2.0
ACE,LGW,4.0,0.0,0.0
ACE,MAD,2.0,0.0,2.0
ACT,DFW,2.0,0.0,0.0
ACX,CAN,2.0,0.0,0.0
ADD,DOH,2.0,0.0,0.0
ADE,AMM,2.0,0.0,0.0
ADL,ASP,2.0,0.0,0.0
ADL,BNE,4.0,0.0,0.0
ADL,CBR,2.0,0.0,0.0
ADL,DRW,2.0,0.0,0.0
ADL,DXB,2.0,0.0,0.0
ADL,HKG,2.0,0.0,0.0
ADL,KGI,2.0,0.0,0.0
ADL,KUL,2.0,0.0,0.0
ADL,MEL,3.0,0.0,0.0
ADL,OLP,2.0,0.0,0.0
ADL,PER,2.0,0.0,0.0
ADL,PLO,2.0,0.0,0.0
ADL,SYD,4.0,0.0,0.0
AEP,GRU,2.0,0.0,2.0
AER,DME,2.0,0.0,0.0
AEX,DFW,2.0,0.0,0.0
AGP,AMS,2.0,0.0,0.0
AGP,BCN,2.0,0.0,0.0
AGP,BIO,2.0,0.0,0.0
AGP,BRU,2.0,2.0,0.0
AGP,CMN,2.0,0.0,0.0
AGP,CPH,2.0,2.0,0.0
AGP,CWL,2.0,0.0,0.0
AGP,DME,2.0,0.0,0.0
AGP,FCO,2.0,0.0,2.0
AGP,HAJ,2.0,0.0,0.0
AGP,HAM,2.0,0.0,0.0
AGP,HEL,2.0,0.0,0.0
AGP,LCY,4.0,0.0,0.0
AGP,LGW,4.0,0.0,0.0
AGP,LHR,4.0,0.0,0.0
AGP,LPA,2.0,0.0,0.0
AGP,LYS,2.0,0.0,0.0
AGP,MAD,2.0,0.0,2.0
AGP,MLN,2.0,0.0,0.0
AGP,MUC,2.0,2.0,0.0
AGP,NTE,2.0,0.0,0.0
AGP,ORY,2.0,0.0,0.0
AGP,OVD,2.0,0.0,0.0
AGP,PMI,2.0,0.0,1.0
AGP,SCQ,2.0,0.0,0.0
AGP,TFN,2.0,0.0,2.0
AGP,TLS,2.0,0.0,0.0
AGP,VLC,2.0,0.0,0.0
AGS,CLT,2.0,0.0,0.0
AGS,DCA,2.0,0.0,0.0
AGT,ASU,2.0,0.0,0.0
AGT,GRU,2.0,0.0,0.0
AGU,DFW,2.0,0.0,0.0
AJU,GRU,2.0,0.0,0.0
AJU,REC,2.0,0.0,0.0
AJU,SDU,2.0,0.0,0.0
AJU,SSA,2.0,0.0,0.0
AKJ,HND,2.0,2.0,0.0
AKL,BNE,4.0,2.0,2.0
AKL,CAN,2.0,0.0,0.0
AKL,HKG,2.0,3.0,0.0
AKL,KUL,2.0,0.0,0.0
