IATA,id,airport_name,city,country,ICAO,latitude,longitude,altitude,timezone,daylight_saving_time,database_timezone,type,source
AAL,628.0,Aalborg Airport,Aalborg,Denmark,EKYT,57.092758913800004,9.84924316406,10.0,1,E,Europe/Copenhagen,airport,OurAirports
AAQ,4353.0,Anapa Vityazevo Airport,Anapa,Russia,URKA,45.002101898193,37.347301483154,174.0,3,N,Europe/Moscow,airport,OurAirports
AAR,607.0,Aarhus Airport,Aarhus,Denmark,EKAH,56.2999992371,10.619000434899998,82.0,1,E,Europe/Copenhagen,airport,OurAirports
AAT,6946.0,Altay Airport,Altay,China,ZWAT,47.866667,88.116667,2491.0,8,U,Asia/Shanghai,airport,User
ABA,2955.0,Abakan Airport,Abakan,Russia,UNAA,53.7400016784668,91.38500213623048,831.0,7,N,Asia/Krasnoyarsk,airport,OurAirports
ABE,4355.0,Lehigh Valley International Airport,Allentown,United States,KABE,40.652099609375,-75.44080352783203,393.0,-5,A,America/New_York,airport,OurAirports
ABI,3718.0,Abilene Regional Airport,Abilene,United States,KABI,32.4113006592,-99.68190002440001,1791.0,-6,A,America/Chicago,airport,OurAirports
ABJ,253.0,Port Bouet Airport,Abidjan,Cote d'Ivoire,DIAP,5.261390209197998,-3.9262900352478023,21.0,0,N,Africa/Abidjan,airport,OurAirports
ABQ,4019.0,Albuquerque International Sunport Airport,Albuquerque,United States,KABQ,35.04019927978516,-106.60900115966795,5355.0,-7,A,America/Denver,airport,OurAirports
ABR,5714.0,Aberdeen Regional Airport,Aberdeen,United States,KABR,45.44910049438477,-98.42179870605469,1302.0,-6,A,America/Chicago,airport,OurAirports
ABS,1127.0,Abu Simbel Airport,Abu Simbel,Egypt,HEBL,22.3759994507,31.611700058,616.0,2,U,Africa/Cairo,airport,OurAirports
ABT,2061.0,Al Baha Airport,El-baha,Saudi Arabia,OEBA,20.296100616500002,41.6343002319,5486.0,3,U,Asia/Riyadh,airport,OurAirports
ABV,260.0,Nnamdi Azikiwe International Airport,Abuja,Nigeria,DNAA,9.006790161132812,7.263169765472412,1123.0,1,N,Africa/Lagos,airport,OurAirports
ABX,3333.0,Albury Airport,Albury,Australia,YMAY,-36.06779861450195,146.95799255371094,539.0,10,O,Australia/Sydney,airport,OurAirports
ABY,5715.0,Southwest Georgia Regional Airport,Albany,United States,KABY,31.535499572753906,-84.19450378417969,197.0,-5,A,America/New_York,airport,OurAirports
ABZ,532.0,Aberdeen Dyce Airport,Aberdeen,United Kingdom,EGPD,57.20190048217773,-2.1977798938751216,215.0,0,E,Europe/London,airport,OurAirports
ACA,1783.0,General Juan N Alvarez International Airport,Acapulco,Mexico,MMAA,16.757099151611328,-99.75399780273438,16.0,-6,S,America/Mexico_City,airport,OurAirports
ACC,248.0,Kotoka International Airport,Accra,Ghana,DGAA,5.605189800262451,-0.16678600013256073,205.0,0,N,Africa/Accra,airport,OurAirports
ACE,1055.0,Lanzarote Airport,Arrecife,Spain,GCRR,28.945499420166016,-13.605199813842773,46.0,0,E,Atlantic/Canary,airport,OurAirports
ACT,3700.0,Waco Regional Airport,Waco,United States,KACT,31.61129951477051,-97.23049926757812,516.0,-6,A,America/Chicago,airport,OurAirports
ACV,4384.0,Arcata Airport,Arcata CA,United States,KACV,40.97809982299805,-124.10900115966795,221.0,-8,A,America/Los_Angeles,airport,OurAirports
ACX,7506.0,Xingyi Airport,Xingyi,China,ZUYI,25.0863888889,104.959444444,4150.0,8,U,Asia/Shanghai,airport,OurAirports
ACY,3524.0,Atlantic City International Airport,Atlantic City,United States,KACY,39.45759963989258,-74.57720184326172,75.0,-5,A,America/New_York,airport,OurAirports
ADA,1685.0,Adana Airport,Adana,Turkey,LTAF,36.982200622600004,35.2803993225,65.0,3,E,Europe/Istanbul,airport,OurAirports
ADB,1706.0,Adnan Menderes International Airport,Izmir,Turkey,LTBJ,38.292400360100004,27.156999588,412.0,3,E,Europe/Istanbul,airport,OurAirports
ADD,1107.0,Addis Ababa Bole International Airport,Addis Ababa,Ethiopia,HAAB,8.97789001465,38.7993011475,7630.0,3,U,Africa/Addis_Ababa,airport,OurAirports
ADE,3977.0,Aden International Airport,Aden,Yemen,OYAA,12.829500198364258,45.02880096435547,7.0,3,U,Asia/Aden,airport,OurAirports
ADF,5800.0,Adıyaman Airport,Adiyaman,Turkey,LTCP,37.7313995361,38.4688987732,2216.0,3,E,Europe/Istanbul,airport,OurAirports
ADL,3341.0,Adelaide International Airport,Adelaide,Australia,YPAD,-34.94499969482422,138.531005859375,20.0,9.5,O,Australia/Adelaide,airport,OurAirports
ADZ,2749.0,Gustavo Rojas Pinilla International Airport,San Andres Island,Colombia,SKSP,12.5836,-81.7112,19.0,-5,U,America/Bogota,airport,OurAirports
AEP,2442.0,Jorge Newbery Airpark,Buenos Aires,Argentina,SABE,-34.5592,-58.4156,18.0,-3,N,America/Buenos_Aires,airport,OurAirports
AER,2965.0,Sochi International Airport,Sochi,Russia,URSS,43.449901580811,39.956600189209,89.0,3,N,Europe/Moscow,airport,OurAirports
AES,630.0,Ålesund Airport,Alesund,Norway,ENAL,62.5625,6.119699954986572,69.0,1,E,Europe/Oslo,airport,OurAirports
AEX,3852.0,Alexandria International Airport,Alexandria,United States,KAEX,31.32740020751953,-92.54979705810548,89.0,-6,A,America/Chicago,airport,OurAirports
AFA,2454.0,Suboficial Ay Santiago Germano Airport,San Rafael,Argentina,SAMR,-34.588299,-68.4039,2470.0,-3,N,America/Mendoza,airport,OurAirports
AGA,1064.0,Al Massira Airport,Agadir,Morocco,GMAD,30.32500076293945,-9.41306972503662,250.0,0,N,Africa/Casablanca,airport,OurAirports
AGH,5597.0,Ängelholm-Helsingborg Airport,Ängelholm,Sweden,ESTA,56.29610061645508,12.847100257873535,68.0,1,E,Europe/Stockholm,airport,OurAirports
AGP,1230.0,Málaga Airport,Malaga,Spain,LEMG,36.67490005493164,-4.499110221862793,53.0,1,E,Europe/Madrid,airport,OurAirports
AGR,3079.0,Agra Airport,Agra,India,VIAG,27.155799865722656,77.96089935302734,551.0,5.5,N,Asia/Calcutta,airport,OurAirports
AGS,3658.0,Augusta Regional At Bush Field,Bush Field,United States,KAGS,33.36989974975586,-81.9645004272461,144.0,-5,A,America/New_York,airport,OurAirports
AGT,4305.0,Guarani International Airport,Ciudad del Este,Paraguay,SGES,-25.454516,-54.842681999999996,846.0,-4,S,America/Asuncion,airport,OurAirports
AGU,1785.0,Jesús Terán Paredo International Airport,Aguascalientes,Mexico,MMAS,21.705601,-102.318001,6112.0,-6,S,America/Mexico_City,airport,OurAirports
AGX,3130.0,Agatti Airport,Agatti Island,India,VOAT,10.823699951171877,72.1760025024414,14.0,5.5,N,Asia/Calcutta,airport,OurAirports
AHB,2059.0,Abha Regional Airport,Abha,Saudi Arabia,OEAB,18.2404003143,42.65660095210001,6858.0,3,U,Asia/Riyadh,airport,OurAirports
AHO,1517.0,Alghero-Fertilia Airport,Alghero,Italy,LIEA,40.632099,8.29077,87.0,1,E,Europe/Rome,airport,OurAirports
AIA,7067.0,Alliance Municipal Airport,Alliance,United States,KAIA,42.0531997681,-102.804000854,3931.0,-7,A,America/Denver,airport,OurAirports
AIT,1958.0,Aitutaki Airport,Aitutaki,Cook Islands,NCAI,-18.830900192260746,-159.76400756835938,14.0,-10,U,Pacific/Rarotonga,airport,OurAirports
AJA,1324.0,Ajaccio-Napoléon Bonaparte Airport,Ajaccio,France,LFKJ,41.92359924316406,8.8029203414917,18.0,1,E,Europe/Paris,airport,OurAirports
AJF,5925.0,Al-Jawf Domestic Airport,Al-Jawf,Saudi Arabia,OESK,29.78510093688965,40.099998474121094,2261.0,3,U,Asia/Riyadh,airport,OurAirports
AJI,5799.0,Ağrı Airport,Agri,Turkey,LTCO,39.654541015625,43.025978088378906,5462.0,3,E,Europe/Istanbul,airport,OurAirports
AJL,3039.0,Lengpui Airport,Aizwal,India,VELP,23.8405990601,92.6196975708,1398.0,5.5,N,Asia/Calcutta,airport,OurAirports
AJR,730.0,Arvidsjaur Airport,Arvidsjaur,Sweden,ESNX,65.59030151367189,19.28190040588379,1245.0,1,E,Europe/Stockholm,airport,OurAirports
AJU,2522.0,Santa Maria Airport,Aracaju,Brazil,SBAR,-10.984000206,-37.0703010559,23.0,-3,S,America/Fortaleza,airport,OurAirports
AKJ,2299.0,Asahikawa Airport,Asahikawa,Japan,RJEC,43.670799255371094,142.44700622558594,721.0,9,U,Asia/Tokyo,airport,OurAirports
AKL,2006.0,Auckland International Airport,Auckland,New Zealand,NZAA,-37.0080986023,174.79200744599999,23.0,12,Z,Pacific/Auckland,airport,OurAirports
AKU,6404.0,Aksu Airport,Aksu,China,ZWAK,41.262501,80.291702,3816.0,8,U,Asia/Shanghai,airport,OurAirports
ALA,2908.0,Almaty Airport,Alma-ata,Kazakhstan,UAAA,43.35210037231445,77.04049682617188,2234.0,6,U,Asia/Qyzylorda,airport,OurAirports
ALB,3864.0,Albany International Airport,Albany,United States,KALB,42.74829864501953,-73.80169677734375,285.0,-5,A,America/New_York,airport,OurAirports
ALC,1212.0,Alicante International Airport,Alicante,Spain,LEAL,38.28219985961914,-0.5581560134887695,142.0,1,E,Europe/Madrid,airport,OurAirports
ALF,632.0,Alta Airport,Alta,Norway,ENAT,69.976097106934,23.371700286865,9.0,1,E,Europe/Oslo,airport,OurAirports
ALG,210.0,Houari Boumediene Airport,Algier,Algeria,DAAG,36.691001892089844,3.215409994125366,82.0,1,N,Africa/Algiers,airport,OurAirports
ALH,6235.0,Albany Airport,Albany,Australia,YABA,-34.94329833984375,117.80899810791016,233.0,8,O,Australia/Perth,airport,OurAirports
ALO,5718.0,Waterloo Regional Airport,Waterloo,United States,KALO,42.55709838867188,-92.40029907226562,873.0,-6,A,America/Chicago,airport,OurAirports
ALS,7073.0,San Luis Valley Regional Bergman Field,Alamosa,United States,KALS,37.434898,-105.866997,7539.0,-7,A,America/Denver,airport,OurAirports
AMA,3840.0,Rick Husband Amarillo International Airport,Amarillo,United States,KAMA,35.219398498535156,-101.70600128173828,3607.0,-6,A,America/Chicago,airport,OurAirports
AMD,2994.0,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,VAAH,23.0771999359,72.63469696039998,189.0,5.5,N,Asia/Calcutta,airport,OurAirports
AMH,1109.0,Arba Minch Airport,Arba Minch,Ethiopia,HAAM,6.0393900871276855,37.59049987792969,3901.0,3,U,Africa/Addis_Ababa,airport,OurAirports
AMM,2170.0,Queen Alia International Airport,Amman,Jordan,OJAI,31.7226009369,35.9931983948,2395.0,2,E,Asia/Amman,airport,OurAirports
