IATA,Name,Member
AA,American Airlines,Oneworld
BA,British Airways,Oneworld
CX,Cathay Pacific,Oneworld
AY,Finnair,Oneworld
IB,Iberia Airlines,Oneworld
JL,Japan Airlines,Oneworld
4M,LAN Argentina,Oneworld
LP,LAN Peru,Oneworld
MH,Malaysia Airlines,Oneworld
QF,Qantas,Oneworld
QR,Qatar Airways,Oneworld
RJ,Royal Jordanian,Oneworld
S7,S7 Airlines,Oneworld
UL,SriLankan Airlines,Oneworld
JJ,TAM Brazilian Airlines,Oneworld
SU,Aeroflot Russian Airlines,Skyteam
AR,Aerolineas Argentinas,Skyteam
AM,AeroMéxico,Skyteam
UX,Air Europa,Skyteam
AF,Air France,Skyteam
AZ,Alitalia,Skyteam
CI,China Airlines,Skyteam
MU,China Eastern Airlines,Skyteam
CZ,China Southern Airlines,Oneworld
OK,Czech Airlines,Skyteam
DL,Delta Air Lines,Skyteam
GA,Garuda Indonesia,Skyteam
KQ,Kenya Airways,Skyteam
KL,KLM Royal Dutch Airlines,Skyteam
KE,Korean Air,Skyteam
ME,Middle East Airlines,Skyteam
SV,Saudi Arabian Airlines,Skyteam
RO,Tarom,Skyteam
VN,Vietnam Airlines,Skyteam
MF,Xiamen Airlines,Oneworld
JP,Adria Airways,Star Alliance
A3,Aegean Airlines,Star Alliance
AC,Air Canada,Star Alliance
CA,Air China,Star Alliance
AI,Air India Limited,Star Alliance
NZ,Air New Zealand,Star Alliance
NH,All Nippon Airways,Star Alliance
OZ,Asiana Airlines,Star Alliance
OS,Austrian Airlines,Star Alliance
AV,Avianca - Aerovias Nacionales de Colombia,Star Alliance
SN,Brussels Airlines,Star Alliance
CM,Copa Airlines,Star Alliance
OU,Croatia Airlines,Star Alliance
MS,Egyptair,Star Alliance
ET,Ethiopian Airlines,Star Alliance
BR,EVA Air,Star Alliance
LO,LOT Polish Airlines,Star Alliance
LH,Lufthansa,Star Alliance
SK,Scandinavian Airlines System,Star Alliance
ZH,Shenzhen Airlines,Star Alliance
SQ,Singapore Airlines,Star Alliance
SA,South African Airways,Star Alliance
LX,Swiss International Air Lines,Star Alliance
TP,TAP Portugal,Star Alliance
TG,Thai Airways International,Star Alliance
TK,Turkish Airlines,Star Alliance
UA,United Airlines,Star Alliance
